Model ID,Hydraulic Conductivity,Surface Slope (S),Barrier Depth,D*,Barrier Location,L*,R_intrusionUZF,R_intrusionCHD,R_flowUZF,R_flowCHD,R_emergence
0,0.01,0.005,18,0.9,0,0,0,0,0.724686455,1.5154424,0.028248588
1,0.01,0.005,16,0.8,0,0,0,0,0.737433066,1.4754844,0.028248588
2,0.01,0.005,14,0.7,0,0,0,0,0.767918548,1.4159124,0.028248588
3,0.01,0.005,12,0.6,0,0,0,0,0.79467441,1.3589566,0.028248588
4,0.01,0.005,10,0.5,0,0,0,0,0.819804839,1.3087213,0.028248588
5,0.01,0.005,8,0.4,0,0,0,0,0.843478199,1.2635525,0.028248588
6,0.01,0.005,6,0.3,0,0,0,0,0.867235334,1.2208846,0.028248588
7,0.01,0.005,4,0.2,0,0,0,0,0.892461175,1.1772939,0.028248588
8,0.01,0.005,2,0.1,0,0,0,0,0.923714067,1.1249665,0.028248588
9,0.1,0.005,18,0.9,0,0,0,0,1,1.9413563,0.028248588
10,0.1,0.005,16,0.8,0,0,0,0,1,1.9249724,0.028248588
11,0.1,0.005,14,0.7,0,0,0,0,1,1.8993521,0.028248588
12,0.1,0.005,12,0.6,0,0,0,0,1,1.8667749,0.028248588
13,0.1,0.005,10,0.5,0,0,0,0,1,1.8209236,0.028248588
14,0.1,0.005,8,0.4,0,0,0,0,1,1.7525166,0.028248588
15,0.1,0.005,6,0.3,0,0,0,0.026315789,1,1.6602857,0.028248588
16,0.1,0.005,4,0.2,0,0,0,0.026315789,1,1.5508119,0.028248588
17,0.1,0.005,2,0.1,0,0,0.026315789,0.052631579,1,1.4291596,0.028248588
18,1,0.005,18,0.9,0,0,0,0,1,1.3091228,0.028248588
19,1,0.005,16,0.8,0,0,0,0,1,1.310952,0.028248588
20,1,0.005,14,0.7,0,0,0,0,1,1.2998606,0.028248588
21,1,0.005,12,0.6,0,0,0,0,1,1.2838976,0.028248588
22,1,0.005,10,0.5,0,0,0,0,1,1.2657669,0.028248588
23,1,0.005,8,0.4,0,0,0,0,1,1.2461355,0.028248588
24,1,0.005,6,0.3,0,0,0,0.015873016,1,1.2251554,0.028248588
25,1,0.005,4,0.2,0,0,0.015625,0.031746032,1,1.2016196,0.028248588
26,1,0.005,2,0.1,0,0,0.046875,0.047619048,1,1.1717293,0.028248588
27,10,0.005,18,0.9,0,0,0.005291005,0,1,1.1967846,0.073446328
28,10,0.005,16,0.8,0,0,0.005291005,-0.015873016,1,1.2028365,0.073446328
29,10,0.005,14,0.7,0,0,0,-0.015873016,1,1.2005926,0.073446328
30,10,0.005,12,0.6,0,0,0.015873016,-0.015873016,1,1.1943666,0.073446328
31,10,0.005,10,0.5,0,0,0.015873016,0,1,1.1856534,0.073446328
32,10,0.005,8,0.4,0,0,0.010582011,0,1,1.1754498,0.073446328
33,10,0.005,6,0.3,0,0,0.010582011,0,1,1.1630694,0.06779661
34,10,0.005,4,0.2,0,0,0.010582011,0.015873016,1,1.1483092,0.06779661
