Model ID,Hydraulic Conductivity (K),Surface Slope (S),Barrier Depth,D*,Barrier Location,L*,R_intrusionUZF,R_intrusionCHD,R_flowUZF,R_flowCHD,R_emergence
0,0.01,0.005,2,0.1,0,0,0.071428571,0.066666667,1,0.912153,0.028248588
1,0.01,0.005,4,0.2,0,0,0.071428571,0,1,0.9599521,0.028248588
2,0.01,0.005,6,0.3,0,0,0.071428571,0,0.981439324,1.0587268,0.028248588
3,0.01,0.005,8,0.4,0,0,0.071428571,0,0.934579676,1.1421763,0.028248588
4,0.01,0.005,10,0.5,0,0,0.071428571,0,0.884039918,1.2032855,0.028248588
5,0.01,0.005,12,0.6,0,0,0.071428571,0,0.859556035,1.2475481,0.028248588
6,0.01,0.005,14,0.7,0,0,0.071428571,0,0.838809418,1.2796352,0.028248588
7,0.01,0.005,16,0.8,0,0,0.071428571,0,0.826128,1.3023624,0.028248588
8,0.01,0.005,18,0.9,0,0,0.071428571,0,0.817670554,1.3172098,0.028248588
9,0.1,0.005,2,0.1,0,0,0.421052632,0.421052632,1,0.9942652,0.028248588
10,0.1,0.005,4,0.2,0,0,0.421052632,0.421052632,1,1.103152,0.028248588
11,0.1,0.005,6,0.3,0,0,0.421052632,0.421052632,1,1.3137274,0.028248588
12,0.1,0.005,8,0.4,0,0,0.368421053,0.342105263,1,1.4950663,0.028248588
13,0.1,0.005,10,0.5,0,0,0.236842105,0.236842105,1,1.6355717,0.028248588
14,0.1,0.005,12,0.6,0,0,0.157894737,0.157894737,1,1.7316914,0.028248588
15,0.1,0.005,14,0.7,0,0,0.105263158,0.105263158,1,1.7926581,0.028248588
16,0.1,0.005,16,0.8,0,0,0.078947368,0.052631579,1,1.8320177,0.028248588
17,0.1,0.005,18,0.9,0,0,0.052631579,0.026315789,1,1.8574798,0.028248588
18,1,0.005,2,0.1,0,0,0.65625,0.650793651,1,1.0051211,0.033898305
19,1,0.005,4,0.2,0,0,0.125,0.19047619,1,1.1163155,0.028248588
20,1,0.005,6,0.3,0,0,0.078125,0.095238095,1,1.1350607,0.028248588
21,1,0.005,8,0.4,0,0,0.046875,0.063492063,1,1.148736,0.028248588
22,1,0.005,10,0.5,0,0,0.03125,0.047619048,1,1.1663522,0.028248588
23,1,0.005,12,0.6,0,0,0.03125,0.031746032,1,1.18099,0.028248588
24,1,0.005,14,0.7,0,0,0.015625,0.031746032,1,1.1919882,0.028248588
25,1,0.005,16,0.8,0,0,0.015625,0.015873016,1,1.200118,0.028248588
26,1,0.005,18,0.9,0,0,0.015625,0.015873016,1,1.2057562,0.028248588
27,10,0.005,2,0.1,0,0,0.365079365,0.650793651,1,0.99259037,0.06779661
28,10,0.005,4,0.2,0,0,0.095238095,0.126984127,1,1.0576447,0.06779661
29,10,0.005,6,0.3,0,0,0.026455026,0.063492063,1,1.0760156,0.06779661
30,10,0.005,8,0.4,0,0,0.026455026,0.047619048,1,1.0891107,0.06779661
31,10,0.005,10,0.5,0,0,0.010582011,0.031746032,1,1.0984516,0.06779661
32,10,0.005,12,0.6,0,0,0.010582011,0.031746032,1,1.1062735,0.073446328
33,10,0.005,14,0.7,0,0,0.021164021,0.015873016,1,1.1120057,0.073446328
34,10,0.005,16,0.8,0,0,0.005291005,0.015873016,1,1.1162426,0.073446328
35,10,0.005,18,0.9,0,0,0.005291005,0.015873016,1,1.119418,0.073446328
36,0.01,0.005,2,0.1,30,0.03,0.071428571,0,1,0.87790567,0
37,0.01,0.005,4,0.2,30,0.03,0.071428571,0,0.921072382,0.7515059,0
38,0.01,0.005,6,0.3,30,0.03,0.071428571,0,0.871408076,0.66681147,0
39,0.01,0.005,8,0.4,30,0.03,0.071428571,0,0.837664482,0.6076824,0
40,0.01,0.005,10,0.5,30,0.03,0.071428571,0,0.814104875,0.56480545,0
41,0.01,0.005,12,0.6,30,0.03,0.071428571,0,0.793113284,0.53321415,0
42,0.01,0.005,14,0.7,30,0.03,0.071428571,0,0.780437489,0.5100511,0
43,0.01,0.005,16,0.8,30,0.03,0.071428571,0,0.771471322,0.49360335,0
44,0.01,0.005,18,0.9,30,0.03,0.071428571,0,0.765743638,0.48286337,0
45,0.1,0.005,2,0.1,30,0.03,0.263157895,0.263157895,1,0.8882787,0
46,0.1,0.005,4,0.2,30,0.03,0.263157895,0.263157895,1,0.84612614,0
47,0.1,0.005,6,0.3,30,0.03,0.263157895,0.263157895,1,0.8826608,0
48,0.1,0.005,8,0.4,30,0.03,0.263157895,0.263157895,1,0.9480374,0
49,0.1,0.005,10,0.5,30,0.03,0.263157895,0.263157895,1,1.0391139,0
50,0.1,0.005,12,0.6,30,0.03,0.263157895,0.263157895,1,1.138634,0
